category_id,category_name_ar,category_name_en,category_group,category_icon,difficulty_points,question_ar,question_en,option_a,option_b,option_c,option_d,correct_option,explanation_ar,evidence_image,evidence_title,evidence_description,active,question_type,media_url,media_duration,correct_order
kuwait_history,تاريخ الكويت,Kuwait History,gulf,🇰🇼,100,في أي عام أعلنت الكويت استقلالها؟,In which year did Kuwait declare independence?,1961,1971,1951,1981,a,استقلت الكويت عن بريطانيا في 19 يونيو 1961.,,استقلال الكويت,انضمت الكويت إلى جامعة الدول العربية في نفس العام 1961,true
diwaniya,ديوانية وعادات,Diwaniya & Traditions,gulf,☕,100,ما هو المشروب التقليدي الأكثر تقديماً في الديوانية الكويتية؟,What is the most traditionally served drink in Kuwaiti Diwaniya?,القهوة العربية,الشاي بالنعناع,اللبن,العصير,a,القهوة العربية (الجاوه) هي الرمز الأبرز للضيافة في الديوانية الكويتية.,,الجاوه الكويتية,تُقدَّم القهوة العربية في دلال صغيرة وتُشرب في فناجين صغيرة بدون مقبض,true
kuwait_food,مطبخ كويتي,Kuwaiti Cuisine,gulf,🍛,200,ما هو الطبق الوطني الأشهر للكويت؟,What is Kuwait's most famous national dish?,المچبوس,الهريس,الكبسة,الفالوذ,a,المچبوس هو طبق الأرز باللحم أو الدجاج المتبّل ويُعدّ الأشهر في الكويت والخليج.,,المچبوس الكويتي,يُطهى المچبوس بالبهارات العطرية كالبهار والهيل والزعفران مع اللحم,true
gcc_football,كرة خليجية,GCC Football,gulf,🏆,300,كم مرة فازت الكويت بكأس الخليج العربي؟,How many times has Kuwait won the Arabian Gulf Cup?,10 مرات,7 مرات,5 مرات,12 مرة,a,الكويت تتصدر قائمة الفائزين بكأس الخليج بـ 10 ألقاب حتى عام 2023.,,بطولة كأس الخليج,أُقيمت أول نسخة من بطولة الخليج عام 1970 وكانت الكويت بين المؤسسين,true
sport,رياضة,Sport,culture,⚽,200,رتّب المهاجمين من الأكثر تسجيلاً في كأس العالم إلى الأقل (حتى 2022),Rank top World Cup scorers,رونالدو (8),كلوزه (16),فونتين (13),بيلي (12),a,كلوزه يمتلك الرقم القياسي بـ 16 هدفاً في كأس العالم,,أهداف كأس العالم,ميروسلاف كلوزه يتقدم القائمة برصيد 16 هدفاً في 4 نسخ,true,ordering,,,"1,0,2,3"
science,علوم,Science,knowledge,🔬,200,رتّب الكواكب من الأقرب للشمس إلى الأبعد,Rank planets nearest to farthest from Sun,المريخ,الزهرة,زحل,المشتري,a,الزهرة أقرب الكواكب للشمس بعد عطارد,,ترتيب الكواكب,المجموعة الشمسية تضم 8 كواكب بعد إعادة تصنيف بلوتو عام 2006,true,ordering,,,"1,0,3,2"
history,تاريخ,History,knowledge,📜,300,رتّب القادة الإسلاميين من الأقدم إلى الأحدث تاريخياً,Rank Islamic leaders oldest to most recent,صلاح الدين الأيوبي,محمد الفاتح,خالد بن الوليد,هارون الرشيد,a,خالد بن الوليد كان من قادة صدر الإسلام في القرن السابع,,قادة إسلاميون,تمتد هذه الحقبة من صدر الإسلام حتى العصر العثماني,true,ordering,,,"2,3,0,1"
animals,عالم الحيوان,Animals,knowledge,🐾,100,من خلال الصوت — ما اسم هذا الحيوان؟,Identify this animal by its sound,الأسد,الفيل,الحوت الأزرق,الدولفين,a,الأسد يمكن سماع زئيره من مسافة 8 كيلومترات,,الأسد,الأسد هو سيد الغابة وزئيره يميزه عن باقي الحيوانات,true,audio,https://upload.wikimedia.org/wikipedia/commons/7/73/Lion_waiting_in_Namibia.ogg,5,
music,موسيقى,Music,culture,🎵,200,من خلال الصوت — من هو مؤدي هذه المقطوعة الكلاسيكية؟,Identify the composer from this audio clip,موزارت,بيتهوفن,شوبان,باخ,b,سوناتا القمر كُتبت عام 1801 وهي من أشهر أعمال بيتهوفن,,بيتهوفن,لودفيغ فان بيتهوفن أحد أعظم الملحنين في التاريخ,true,audio,https://upload.wikimedia.org/wikipedia/commons/a/ac/Beethoven_-_Moonlight_Sonata_Op._27_No._2.ogg,8,
kuwait_history,تاريخ الكويت,Kuwait History,gulf,🇰🇼,300,ما هذا المعلم الكويتي الشهير؟,What is this famous Kuwaiti landmark?,أبراج الكويت,برج التحرير,قصر السيف,المسجد الكبير,a,أبراج الكويت رمز الكويت الحديثة أُفتتحت عام 1977 وتُعدّ من أبرز المعالم في منطقة الخليج.,,أبراج الكويت,تحتوي على مطعم دوّار يوفر إطلالات بانورامية على خليج الكويت,true,scene,https://commons.wikimedia.org/wiki/Special:FilePath/Kuwait_Towers.jpg,,
kuwait_history,تاريخ الكويت,Kuwait History,gulf,🇰🇼,400,ما اسم هذا البرج الكويتي الشامق؟,What is this towering Kuwaiti structure?,برج التحرير,أبراج الكويت,برج الفهد,مبنى وزارة النفط,a,برج التحرير ارتفاعه 372 متراً بُني تخليداً لذكرى تحرير الكويت عام 1991 وهو من أعلى أبراج الاتصالات في العالم.,,برج التحرير,يُعدّ برج التحرير من أطول الأبراج في منطقة الشرق الأوسط,true,scene,https://commons.wikimedia.org/wiki/Special:FilePath/Liberation_Tower_Kuwait_City.jpg,,
kuwait_history,تاريخ الكويت,Kuwait History,gulf,🇰🇼,300,ما هذا القصر الكويتي العريق؟,What is this historic Kuwaiti palace?,قصر السيف,قصر دسمان,قصر الشعب,مبنى مجلس الأمة,a,قصر السيف هو المقر الرسمي للحكومة الكويتية يتميز بعمارته الإسلامية الأصيلة وساعته الشهيرة.,,قصر السيف,يقع قصر السيف على ساحل الكويت ويضم ساعة كبيرة تُعدّ من أبرز معالمه,true,scene,https://commons.wikimedia.org/wiki/Special:FilePath/Seif_palace.jpg,,
kuwait_history,تاريخ الكويت,Kuwait History,gulf,🇰🇼,200,ما اسم هذا السوق الكويتي التاريخي؟,What is this historic Kuwaiti market?,سوق المباركية,سوق الحميدية,سوق مطرح,سوق الزل,a,سوق المباركية أقدم سوق شعبي في الكويت يعود تاريخه إلى أكثر من 100 عام ويُعدّ مركزاً للتراث الكويتي.,,سوق المباركية,تحوّل سوق المباركية إلى معلم سياحي يجمع بين الأصالة والحداثة,true,scene,https://commons.wikimedia.org/wiki/Special:FilePath/Mubarakiya_Market_Kuwait.jpg,,
kuwait_food,مطبخ كويتي,Kuwaiti Cuisine,gulf,🍛,100,ما اسم هذا الطبق الكويتي في الصورة؟,What Kuwaiti dish is shown here?,المچبوس,الكبسة السعودية,المندي,الوليمة,a,المچبوس الكويتي طبق الأرز الأشهر في الخليج يُطهى مع اللحم أو الدجاج والبهارات العطرية.,,المچبوس,يُعدّ المچبوس الطبق الوطني غير الرسمي للكويت,true,image,https://commons.wikimedia.org/wiki/Special:FilePath/Kabsa.jpg,,
kuwait_food,مطبخ كويتي,Kuwaiti Cuisine,gulf,🍛,200,ما اسم هذا الطبق الخليجي التقليدي في الصورة؟,What traditional Gulf dish is shown?,الهريس,العصيدة,الثريد,المرقوق,a,الهريس طبق من القمح المدقوق واللحم يُعدّ من أقدم وأشهر الأطباق في المطبخ الخليجي والكويتي.,,الهريس,يحتل الهريس مكانة خاصة في الموائد الكويتية خاصة في شهر رمضان,true,image,https://commons.wikimedia.org/wiki/Special:FilePath/Harees.jpg,,
kuwait_food,مطبخ كويتي,Kuwaiti Cuisine,gulf,🍛,300,ما اسم هذا الطبق الكويتي الحلو المالح؟,What is this unique sweet-savory Kuwaiti dish?,البلاليط,الخبيص,المعصوب,اللقيمات,a,البلاليط طبق فريد من الشعيرية المحلاة بالهيل والزعفران مع البيض يُؤكل غالباً في وجبة الفطور.,,البلاليط,يجمع البلاليط بين الطعم الحلو والمالح مما يجعله من أكثر الأطباق الكويتية تميزاً,true,image,https://commons.wikimedia.org/wiki/Special:FilePath/Balaleet.jpg,,
kuwait_food,مطبخ كويتي,Kuwaiti Cuisine,gulf,🍛,200,ما اسم هذه الحلوى الكويتية الشهيرة؟,What is this famous Kuwaiti street dessert?,اللقيمات,العوامة,خمير مقلي,الكليجا,a,اللقيمات كرات عجين مقلية تُقدَّم مع التمر والدبس وهي من أشهر الحلويات الكويتية في الأسواق الشعبية.,,اللقيمات,تُقدَّم اللقيمات ساخنة مباشرة من المقلاة في الأسواق الشعبية الكويتية,true,image,https://commons.wikimedia.org/wiki/Special:FilePath/Luqaimat.jpg,,
gulf,خليجيات,Gulf,gulf,🐪,100,لأي دولة خليجية ينتمي هذا العلم؟,Which Gulf country does this flag belong to?,الكويت,العراق,الأردن,فلسطين,a,علم الكويت اعتُمد عام 1961 يتكوّن من الأخضر والأبيض والأحمر مع مستطيل أسود على الجانب.,,علم الكويت,الألوان الأربعة في علم الكويت مستوحاة من أبيات للشاعر صفي الدين الحلي,true,image,https://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Kuwait.svg,,
