id,category,tier,points,question,option_a,option_b,option_c,option_d,correct_index,correct_answer
culture-1-1,culture,1,100,"ما هي عاصمة المملكة العربية السعودية؟","جدة","الرياض","مكة","الدمام",1,"الرياض"
culture-1-2,culture,1,100,"كم عدد أيام الأسبوع؟","خمسة","ستة","سبعة","ثمانية",2,"سبعة"
culture-1-3,culture,1,100,"ما هي اللغة الرسمية في مصر؟","الإنجليزية","الفرنسية","العربية","التركية",2,"العربية"
culture-1-4,culture,1,100,"ما هو أكبر كوكب في المجموعة الشمسية؟","الأرض","المريخ","المشتري","زحل",2,"المشتري"
culture-1-5,culture,1,100,"كم عدد ألوان قوس قزح؟","خمسة","ستة","سبعة","ثمانية",2,"سبعة"
culture-1-6,culture,1,100,"ما هو الحيوان الذي يُلقب بسفينة الصحراء؟","الحصان","الجمل","الحمار","البغل",1,"الجمل"
culture-2-1,culture,2,200,"من هو مخترع المصباح الكهربائي؟","نيوتن","أينشتاين","أديسون","تسلا",2,"أديسون"
culture-2-2,culture,2,200,"ما هي أصغر قارة في العالم؟","أفريقيا","أوروبا","أستراليا","أمريكا الجنوبية",2,"أستراليا"
culture-2-3,culture,2,200,"كم عدد أسنان الإنسان البالغ؟","28","30","32","34",2,"32"
culture-2-4,culture,2,200,"ما هو العنصر الكيميائي الذي رمزه Au؟","الفضة","الذهب","النحاس","الحديد",1,"الذهب"
culture-2-5,culture,2,200,"في أي عام هبط الإنسان على سطح القمر؟","1965","1967","1969","1971",2,"1969"
culture-2-6,culture,2,200,"ما هي أطول نهر في العالم؟","الأمازون","النيل","المسيسيبي","اليانغتسي",1,"النيل"
culture-3-1,culture,3,300,"ما هو اسم الخط الوهمي الذي يقسم الأرض إلى نصفين؟","مدار السرطان","خط الاستواء","خط غرينتش","مدار الجدي",1,"خط الاستواء"
culture-3-2,culture,3,300,"من هو مؤلف كتاب ""المقدمة""؟","الجاحظ","ابن خلدون","ابن سينا","الفارابي",1,"ابن خلدون"
culture-3-3,culture,3,300,"ما هي الدولة التي لها أطول ساحل في العالم؟","أستراليا","روسيا","كندا","إندونيسيا",2,"كندا"
culture-3-4,culture,3,300,"كم عدد العظام في جسم الإنسان البالغ؟","186","196","206","216",2,"206"
culture-3-5,culture,3,300,"ما هي العملة الرسمية لليابان؟","يوان","ين","وون","رينغيت",1,"ين"
culture-3-6,culture,3,300,"من هو أول رائد فضاء عربي؟","فاروق الباز","سلطان بن سلمان","محمد فارس","هزاع المنصوري",1,"سلطان بن سلمان"
sport-1-1,sport,1,100,"كم عدد لاعبي فريق كرة القدم؟","9","10","11","12",2,"11"
sport-1-2,sport,1,100,"ما هي مدة شوط كرة القدم بالدقائق؟","30","35","40","45",3,"45"
sport-1-3,sport,1,100,"أي دولة فازت بكأس العالم 2022؟","فرنسا","البرازيل","الأرجنتين","كرواتيا",2,"الأرجنتين"
sport-1-4,sport,1,100,"ما اسم الدوري الإنجليزي الممتاز؟","لا ليغا","البريميرليغ","السيري آ","البوندسليغا",1,"البريميرليغ"
sport-1-5,sport,1,100,"في أي رياضة تُستخدم المضرب والريشة؟","التنس","البادمنتون","السكواش","تنس الطاولة",1,"البادمنتون"
sport-1-6,sport,1,100,"كم يبلغ طول ملعب كرة القدم تقريباً بالمتر؟","80","90","100","120",2,"100"
sport-2-1,sport,2,200,"من هو هداف كأس العالم التاريخي؟","بيليه","رونالدو","ميروسلاف كلوزه","جيرد مولر",2,"ميروسلاف كلوزه"
sport-2-2,sport,2,200,"كم مرة فازت البرازيل بكأس العالم؟","3","4","5","6",2,"5"
sport-2-3,sport,2,200,"في أي مدينة أُقيمت أول دورة أولمبية حديثة؟","لندن","باريس","أثينا","روما",2,"أثينا"
sport-2-4,sport,2,200,"ما هو الرقم القياسي لأسرع هدف في كأس العالم؟","8 ثوانٍ","11 ثانية","15 ثانية","20 ثانية",1,"11 ثانية"
sport-2-5,sport,2,200,"من هو أكثر لاعب فاز بالكرة الذهبية؟","رونالدو","ميسي","كرويف","زيدان",1,"ميسي"
sport-2-6,sport,2,200,"ما هي الرياضة الوطنية في الهند؟","كرة القدم","الكريكيت","الهوكي","البادمنتون",2,"الهوكي"
